frame,time_sec,left_ratio,right_ratio,avg_ratio,blink_event
180,6.006,0.25095,0.2891,0.27003,0
181,6.039,0.24907,0.28529,0.26718,0
182,6.073,0.24573,0.28404,0.26489,0
183,6.106,0.26431,0.28174,0.27302,0
184,6.139,0.25969,0.28957,0.27463,0
185,6.173,0.24926,0.2853,0.26728,0
186,6.206,0.25878,0.27397,0.26638,0
187,6.24,0.25412,0.26927,0.26169,0
188,6.273,0.24327,0.27286,0.25807,0
189,6.306,0.242,0.27596,0.25898,0
190,6.34,0.24245,0.28766,0.26506,0
191,6.373,0.23427,0.28086,0.25756,0
192,6.406,0.23249,0.27828,0.25539,0
193,6.44,0.24171,0.27277,0.25724,0
194,6.473,0.23027,0.2834,0.25683,0
195,6.506,0.24384,0.27154,0.25769,0
196,6.54,0.25881,0.26747,0.26314,0
197,6.573,0.25852,0.28383,0.27117,0
198,6.607,0.25362,0.27125,0.26244,0
199,6.64,0.24677,0.2803,0.26354,0
200,6.673,0.24294,0.29455,0.26874,0
201,6.707,0.23286,0.27862,0.25574,0
202,6.74,0.24068,0.28838,0.26453,0
203,6.773,0.23508,0.27564,0.25536,0
204,6.807,0.23947,0.2823,0.26088,0
205,6.84,0.23842,0.28842,0.26342,0
206,6.874,0.23608,0.28632,0.2612,0
207,6.907,0.24286,0.27954,0.2612,0
208,6.94,0.24445,0.28521,0.26483,0
209,6.974,0.25109,0.27852,0.2648,0
210,7.007,0.25735,0.28708,0.27221,0
211,7.04,0.2553,0.2931,0.2742,0
212,7.074,0.24607,0.29031,0.26819,0
213,7.107,0.24723,0.29228,0.26975,0
214,7.14,0.26525,0.28866,0.27695,0
215,7.174,0.2604,0.29274,0.27657,0
216,7.207,0.25308,0.29386,0.27347,0
217,7.241,0.25268,0.29904,0.27586,0
218,7.274,0.24086,0.29189,0.26638,0
219,7.307,0.25594,0.29149,0.27372,0
220,7.341,0.26508,0.29386,0.27947,0
221,7.374,0.25246,0.28651,0.26948,0
222,7.407,0.24557,0.28748,0.26652,0
223,7.441,0.25234,0.29458,0.27346,0
224,7.474,0.26313,0.29725,0.28019,0
225,7.508,0.25041,0.29096,0.27069,0
226,7.541,0.25478,0.29138,0.27308,0
227,7.574,0.24414,0.29048,0.26731,0
228,7.608,0.24728,0.29944,0.27336,0
229,7.641,0.24362,0.29409,0.26886,0
230,7.674,0.25708,0.29572,0.2764,0
231,7.708,0.26364,0.29628,0.27996,0
232,7.741,0.25704,0.28512,0.27108,0
233,7.774,0.26203,0.28657,0.2743,0
234,7.808,0.24982,0.28791,0.26886,0
235,7.841,0.25508,0.28768,0.27138,0
236,7.875,0.25155,0.28633,0.26894,0
237,7.908,0.24716,0.28584,0.2665,0
238,7.941,0.25682,0.28309,0.26995,0
239,7.975,0.25896,0.28774,0.27335,0
240,8.008,0.25828,0.28628,0.27228,0
241,8.041,0.24293,0.28975,0.26634,0
242,8.075,0.25135,0.28387,0.26761,0
243,8.108,0.24631,0.2922,0.26925,0
244,8.141,0.25131,0.29294,0.27212,0
245,8.175,0.25286,0.29,0.27143,0
246,8.208,0.25059,0.2887,0.26964,0
247,8.242,0.25426,0.29085,0.27256,0
248,8.275,0.25459,0.29672,0.27566,0
249,8.308,0.24468,0.29011,0.2674,0
